icao_code,iata_code,name,city,country_code
SGPI,PIL,Aeródromo Don Carlos Miguel Gimenez,Pilar,PY
SGPJ,PJC,Aeropuerto Nacional Dr. Augusto Roberto Fuster,Pedro Juan Caballero,PY
SILC,LVR,Municipal Bom Futuro Airport,Lucas do Rio Verde,BR
SIMK,FRC,Tenente Lund Pressoto Airport,Franca,BR
SIRI,MUU,Barra Grande Airport,Maraú,BR
SIZX,JUA,Inácio Luís do Nascimento Airport,Juara,BR
SJNP,NPR,Novo Progresso Airport,Novo Progresso,BR
SJOY,,Jorge Luiz Stocco Airport,Palmeira,BR
LZDN,,Dobra Niva airfield,Zvolen,SK
LZKA,,Komoča Airfield,Komoča,SK
SKAC,ACR,Araracuara Airport,Araracuara,CO
SKAD,ACD,Alcides Fernández Airport,Acandí,CO
SKAG,HAY,Hacaritama Airport,Aguachica,CO
SKAM,AFI,Amalfi Airport,Amalfi,CO
SKAP,API,Gomez Nino Apiay Air Base,Apiay,CO
SKAR,AXM,El Eden Airport,Armenia,CO
SKAS,PUU,Tres De Mayo Airport,Puerto Asís,CO
SKAT,ARQ,El Troncal Airport,Arauquita,CO
SKBC,ELB,Las Flores Airport,El Banco,CO
SKBG,BGA,Palonegro Airport,Bucaramanga,CO
SKBM,NBB,Barranco Minas Airport,Barranco Minas,CO
SKBO,BOG,El Dorado International Airport,Bogota,CO
SKBQ,BAQ,Ernesto Cortissoz International Airport,Barranquilla,CO
SKBS,BSC,José Celestino Mutis Airport,Bahía Solano,CO
SKBU,BUN,Gerardo Tobar López Airport,Buenaventura,CO
SKCA,CPB,Capurganá Airport,Acandí,CO
SKCC,CUC,Camilo Daza International Airport,Cúcuta,CO
SKCD,COG,Mandinga Airport,Condoto,CO
SKCG,CTG,Rafael Nuñez International Airport,Cartagena,CO
SKCI,CCO,Carimagua Airport,Puerto López,CO
SKCL,CLO,Alfonso Bonilla Aragon International Airport,Cali,CO
SKCM,CIM,Cimitarra Airport,Cimitarra,CO
SKCN,RAV,Cravo Norte Airport,Cravo Norte,CO
SKCO,TCO,La Florida Airport,Tumaco,CO
SKCP,BHF,Cupica Airport,Bahía Solano,CO
SKCR,CUO,Carurú Airport,Carurú,CO
SKCU,CAQ,Juan H White Airport,Caucasia,CO
SKCV,CVE,Coveñas Airport,Coveñas,CO
SKCZ,CZU,Las Brujas Airport,Corozal,CO
SKEB,EBG,El Bagre Airport,El Bagre,CO
SKEH,ECR,El Charco Airport,El Charco,CO
SKEJ,EJA,Yariguíes Airport,Barrancabermeja,CO
SKFL,FLA,Gustavo Artunduaga Paredes Airport,Florencia,CO
SKGA,LGT,La Gaviota Airport,La Gaviota Airport,CO
SKGI,GIR,Santiago Vila Airport,Girardot,CO
SKGO,CRC,Santa Ana Airport,Cartago,CO
SKGP,GPI,Guapi Airport,Guapi,CO
SKGZ,,La Jagua Airport,Garzón,CO
SKHA,CPL,General Navas Pardo Airport,Chaparral,CO
SKHC,HTZ,Hato Corozal Airport,Hato Corozal,CO
SKIB,IBE,Perales Airport,Ibagué,CO
SKIG,IGO,Jaime Ortiz Betancourt Airport,Chigorodó,CO
SKIM,LPE,La Primavera Airport,La Primavera,CO
SKIP,IPI,San Luis Airport,Ipiales,CO
SKJU,JUO,Juradó Airport,Juradó,CO
SKLC,APO,Antonio Roldán Betancur Airport,Carepa,CO
SKLG,LQM,Caucaya Airport,Puerto Leguízamo,CO
SKLM,MCJ,Jorge Isaac Airport,La Mina-Maicao,CO
SKLP,LPD,La Pedrera Airport,La Pedrera,CO
SKLT,LET,Alfredo Vásquez Cobo International Airport,Leticia,CO
SKMB,TBD,Timbiqui Airport,Timbiqui,CO
SKMD,EOH,Enrique Olaya Herrera Airport,Medellín,CO
SKMF,MFS,Miraflores Airport,Miraflores,CO
SKMG,MGN,Baracoa Airport,Magangué,CO
SKML,MTB,Montelibano Airport,Montelíbano,CO
SKMP,MMP,San Bernardo Airport,Santa Cruz de Mompóx,CO
SKMR,MTR,Los Garzones Airport,Montería,CO
SKMU,MVP,Fabio Alberto Leon Bentley Airport,Mitú,CO
SKMZ,MZL,La Nubia Airport,Manizales,CO
SKNA,LMC,La Macarena Airport,La Macarena,CO
SKNC,NCI,Necocli Airport,Necocli,CO
SKNQ,NQU,Reyes Murillo Airport,Nuquí,CO
SKNV,NVA,Benito Salas Airport,Neiva,CO
SKOC,OCV,Aguas Claras Airport,Ocaña,CO
SKOE,ORC,Orocue Airport,Orocue,CO
SKOT,OTU,Otu Airport,Remedios,CO
SKPA,RON,Juan Jose Rondon Airport,Paipa,CO
SKPC,PCR,German Olano Airport,Puerto Carreño,CO
SKPD,PDA,Obando Cesar Gaviria Trujillo Airport,Puerto Inírida,CO
SKPE,PEI,Matecaña International Airport,Pereira,CO
SKPI,PTX,Pitalito Airport,Pitalito,CO
SKPL,PLT,Plato Airport,Plato,CO
SKPN,NAR,Puerto Nare Airport,Armenia,CO
SKPP,PPN,Guillermo León Valencia Airport,Popayán,CO
SKPQ,PAL,German Olano Air Base,La Dorada,CO
SKPR,PBE,Puerto Berrio Airport,Puerto Berrio,CO
SKPS,PSO,Antonio Nariño Airport,Chachagüí,CO
SKPV,PVA,El Embrujo Airport,Providencia,CO
SKPZ,PZA,Paz de Ariporo Airport,Paz de Ariporo,CO
SKQU,MQU,Mariquita Airport,Mariquita,CO
SKRA,TCD,Tarapacá Airport,Tarapacá,CO
SKRG,MDE,Jose Maria Córdova International Airport,Medellín,CO
SKRH,RCH,Almirante Padilla Airport,Riohacha,CO
SKRU,SNT,Las Cruces Airport,Sabana de Torres,CO
SKSA,RVE,Los Colonizadores Airport,Saravena,CO
SKSJ,SJE,Jorge E. Gonzalez Torres Airport,San José Del Guaviare,CO
SKSL,SSL,Santa Rosalia Airport,Santa Rosalia,CO
SKSM,SMR,Simón Bolívar International Airport,Santa Marta,CO
SKSO,SOX,Alberto Lleras Camargo Airport,Sogamoso,CO
SKSP,ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO
SKSV,SVI,Eduardo Falla Solano Airport,San Vicente Del Caguán,CO
SKTA,TAU,Tauramena Airport,Tauramena,CO
SKTB,TIB,Tibú Airport,Tibú,CO
SKTD,TDA,Trinidad Airport,Trinidad,CO
SKTL,TLU,Golfo de Morrosquillo Airport,Santiago de Tolú,CO
SKTM,TME,Gustavo Vargas Airport,Tame,CO
SKTQ,TQS,Captain Ernesto Esguerra Cubides Air Base,Tres Esquinas,CO
SKUB,URI,Uribe Airport,La Uribe,CO
SKUC,AUC,Santiago Perez Airport,Arauca,CO
SKUI,UIB,El Caraño Airport,Quibdó,CO
SKUL,ULQ,Heriberto Gíl Martínez Airport,Tuluá,CO
SKUR,URR,Urrao Airport,Urrao,CO
SKVG,VGZ,Villa Garzón Airport,Villa Garzón,CO
SKVL,PYA,Velásquez Airport,Puerto Boyacá,CO
SKVP,VUP,Alfonso López Pumarejo Airport,Valledupar,CO
SKVV,VVC,Vanguardia Airport,Villavicencio,CO
SKYA,AYG,Yaguara Airport,San Vicente Del Caguán,CO
SKYP,EYP,El Alcaravan - Yopal Airport,Yopal,CO
SLAG,MHW,Monteagudo Airport,El Bañado,BO
